transaction_id,user_id,age,monthly_income,risk_profile,transaction_date,transaction_hour,category,merchant,amount,payment_method,device,is_salary_day_near,is_late_night,ad_clicked,discount_used,cashback_used,mood_score,financial_stress_level,impulse_purchase
1,29,20,50000,Conservative,2025-10-13,20,Electronics,Netflix,13430.65,UPI,Desktop,0,0,0,0,0,4,7,1
2,412,32,35000,Conservative,2025-08-08,6,Fashion,Uber,3501.93,BNPL,Mobile,0,0,0,1,0,6,5,0
3,377,25,50000,Balanced,2025-06-04,20,Groceries,Netflix,1468.21,Debit Card,Tablet,1,0,0,0,0,10,0,0
4,198,32,25000,Balanced,2025-01-07,19,Rent,Paytm,16404.22,UPI,Mobile,0,0,0,1,1,9,10,0
5,467,37,50000,Conservative,2025-02-10,21,Electronics,Paytm,21819.92,Credit Card,Mobile,0,0,1,0,0,9,10,1
6,478,29,15000,Aggressive,2025-07-01,5,Investment,Swiggy,6542.08,BNPL,Desktop,1,0,1,1,0,3,10,1
7,180,32,75000,Balanced,2025-10-21,14,Utilities,Groww,2629.46,UPI,Mobile,0,0,0,0,0,7,0,0
8,102,43,50000,Balanced,2025-02-05,12,Electronics,Netflix,20746.41,Credit Card,Mobile,1,0,1,1,0,4,10,1
9,419,38,50000,Conservative,2025-12-29,22,Investment,Flipkart,10139.81,Credit Card,Mobile,0,1,0,0,0,8,6,1
10,240,20,75000,Balanced,2025-01-16,6,Fashion,Flipkart,1141.79,UPI,Mobile,0,0,0,1,0,4,0,0
11,179,43,15000,Aggressive,2025-05-31,20,Food Delivery,PhonePe,378.09,Debit Card,Mobile,0,0,1,1,1,10,2,1
12,472,23,25000,Conservative,2025-03-13,4,Food Delivery,Swiggy,462.64,UPI,Desktop,0,0,0,1,0,5,0,0
13,268,23,25000,Conservative,2025-06-10,10,Education,Amazon,1242.36,Credit Card,Mobile,0,0,1,0,0,6,0,0
14,237,39,25000,Balanced,2025-10-08,19,EMI,Croma,9155.56,Credit Card,Mobile,0,0,0,0,0,3,9,1
15,320,41,25000,Balanced,2025-11-30,23,Fashion,Zomato,1914.09,Cash,Mobile,0,1,0,1,0,1,3,1
16,251,43,35000,Conservative,2025-03-17,8,Utilities,Netflix,1548.89,Credit Card,Mobile,0,0,0,0,0,10,0,0
17,358,40,50000,Aggressive,2025-03-01,12,Food Delivery,Amazon,200.68,Credit Card,Mobile,1,0,0,0,0,8,0,0
18,286,23,75000,Balanced,2025-01-23,6,Groceries,Uber,1450.8,Credit Card,Desktop,0,0,1,0,0,5,0,0
19,355,19,35000,Conservative,2025-09-21,8,Travel,Myntra,6890.33,UPI,Mobile,0,0,0,0,1,4,3,0
20,52,32,25000,Conservative,2025-06-06,5,Investment,Croma,3828.41,BNPL,Desktop,0,0,0,0,0,4,8,1
21,341,33,25000,Balanced,2025-06-14,12,Investment,Netflix,3763.68,UPI,Mobile,0,0,0,0,1,8,3,0
22,83,21,25000,Conservative,2025-04-29,14,Food Delivery,Myntra,543.76,Cash,Mobile,0,0,0,0,1,5,0,0
23,31,26,35000,Conservative,2025-08-18,11,Rent,Netflix,11607.79,Credit Card,Desktop,0,0,0,0,0,6,6,0
24,80,42,50000,Conservative,2025-11-14,0,Food Delivery,Croma,241.8,Credit Card,Desktop,0,1,0,1,1,2,2,1
25,136,33,35000,Conservative,2025-04-26,22,Groceries,BigBasket,725.82,BNPL,Mobile,0,1,0,0,0,1,5,1
26,328,25,35000,Conservative,2025-11-08,7,Investment,Uber,6446.08,UPI,Mobile,0,0,0,1,0,7,3,0
