user_id,age,monthly_income,risk_profile
1,24,50000,Conservative
2,25,35000,Conservative
3,36,15000,Balanced
4,38,35000,Balanced
5,39,15000,Balanced
6,23,15000,Aggressive
7,18,25000,Balanced
8,29,15000,Balanced
9,27,15000,Aggressive
10,32,35000,Balanced
11,36,25000,Aggressive
12,42,15000,Balanced
13,38,35000,Conservative
14,42,100000,Aggressive
15,26,15000,Conservative
16,32,50000,Balanced
17,25,15000,Aggressive
18,21,25000,Balanced
19,23,25000,Balanced
20,35,50000,Aggressive
21,21,35000,Aggressive
22,25,35000,Balanced
23,25,50000,Balanced
24,32,50000,Conservative
25,30,15000,Aggressive
26,18,15000,Balanced
27,18,25000,Conservative
28,28,25000,Balanced
29,20,50000,Conservative
30,24,50000,Aggressive
31,26,35000,Conservative
32,33,25000,Balanced
33,22,50000,Balanced
34,44,35000,Conservative
35,32,50000,Balanced
36,43,25000,Conservative
37,44,35000,Balanced
38,27,35000,Conservative
39,24,35000,Balanced
40,21,75000,Conservative
41,30,35000,Conservative
42,30,15000,Conservative
43,39,75000,Balanced
44,42,15000,Balanced
45,29,25000,Aggressive
46,28,25000,Conservative
47,42,25000,Conservative
48,42,35000,Conservative
49,30,75000,Conservative
50,25,35000,Balanced
51,18,15000,Conservative
52,32,25000,Conservative
53,41,50000,Conservative
54,34,25000,Conservative
55,24,35000,Conservative
56,34,100000,Conservative
57,19,35000,Conservative
58,22,25000,Balanced
59,19,35000,Balanced
60,23,25000,Balanced
61,28,25000,Conservative
62,23,25000,Balanced
63,23,25000,Aggressive
64,33,50000,Conservative
65,23,50000,Aggressive
66,44,25000,Balanced
67,36,25000,Conservative
68,26,50000,Conservative
69,35,50000,Balanced
70,42,15000,Aggressive
71,27,25000,Balanced
72,43,100000,Balanced
73,34,25000,Conservative
74,29,35000,Aggressive
75,40,25000,Conservative
76,33,50000,Aggressive
77,39,50000,Balanced
78,28,75000,Balanced
79,25,35000,Conservative
80,42,50000,Conservative
81,31,35000,Balanced
82,33,100000,Conservative
83,21,25000,Conservative
84,37,25000,Balanced
85,20,50000,Balanced
86,29,35000,Balanced
87,39,25000,Aggressive
88,30,35000,Aggressive
89,44,50000,Balanced
90,32,35000,Conservative
91,33,25000,Conservative
92,34,15000,Aggressive
93,31,75000,Conservative
94,26,100000,Conservative
95,31,100000,Aggressive
96,18,15000,Conservative
97,40,25000,Balanced
98,35,35000,Aggressive
99,43,75000,Conservative
100,35,35000,Aggressive
101,19,25000,Conservative
102,43,50000,Balanced
103,28,50000,Balanced
104,27,50000,Aggressive
105,42,35000,Conservative
106,24,35000,Balanced
107,18,15000,Conservative
108,31,75000,Conservative
109,19,15000,Balanced
110,39,25000,Conservative
111,39,35000,Conservative
112,37,15000,Conservative
113,28,15000,Balanced
114,38,25000,Aggressive
115,24,15000,Conservative
116,37,35000,Balanced
117,25,50000,Aggressive
118,27,25000,Balanced
119,36,35000,Conservative
120,22,25000,Conservative
121,26,50000,Conservative
122,43,25000,Conservative
123,39,50000,Balanced
124,38,35000,Balanced
